scenario,zip_code,state,channel,bundle,district,wholesaler,has_commercial_opportunity
51_total_13n_11wh_24fi_3wifi,01001,MA,FI,FI,FI_04,R0028,True
51_total_13n_11wh_24fi_3wifi,01001,MA,National,N,N_13,R0013,True
51_total_13n_11wh_24fi_3wifi,01001,MA,Wealth,WH,WH_07,R0020,True
51_total_13n_11wh_24fi_3wifi,01002,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01002,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01002,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01003,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01003,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01003,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01005,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01005,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01005,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01007,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01007,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01007,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01008,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01008,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01008,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01009,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01009,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01009,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01010,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01010,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01010,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01011,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01011,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01011,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01012,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01012,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01012,MA,Wealth,WH,WH_07,R0020,False
