zip_code,state,national_district,national_wholesaler,wealth_district,wealth_wholesaler,fi_district,fi_wholesaler,wifi_district,wifi_wholesaler,structure_pattern,wholesalers_in_state,has_commercial_opportunity
00601,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00602,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00603,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00606,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00610,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00611,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00612,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00616,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00617,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00622,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00623,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00624,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00627,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00631,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00636,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00637,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00638,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00641,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00646,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00647,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00650,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00652,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00653,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00656,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00659,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00660,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00662,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00664,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00667,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00669,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00670,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00674,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00676,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00677,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00678,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00680,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00682,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00683,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00685,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00687,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00688,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00690,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00692,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00693,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
00694,FL,Unserved,None,Unserved,None,Unserved,None,Unserved,None,"three channels, three reps",4,False
