scenario_id,state,pattern,pattern_label,pattern_color,wholesaler_count,is_split
47_14_11_21_1,AL,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,AR,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,AZ,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,CA,three channels,"three channels, three reps",#a6cee3,8,True
47_14_11_21_1,CO,WH+FI merged,"WH + FI merged, one rep",#b2a0d6,3,False
47_14_11_21_1,CT,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,DC,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,DE,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,FL,three channels,"three channels, three reps",#a6cee3,4,True
47_14_11_21_1,GA,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,IA,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,ID,WH+FI merged,"WH + FI merged, one rep",#b2a0d6,3,False
47_14_11_21_1,IL,three channels,"three channels, three reps",#a6cee3,5,True
47_14_11_21_1,IN,three channels,"three channels, three reps",#a6cee3,4,True
47_14_11_21_1,KS,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,KY,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,LA,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,MA,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,MD,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,ME,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,MI,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,MN,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,MO,three channels,"three channels, three reps",#a6cee3,5,True
47_14_11_21_1,MS,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,MT,WH+FI merged,"WH + FI merged, one rep",#b2a0d6,3,False
47_14_11_21_1,NC,three channels,"three channels, three reps",#a6cee3,4,True
47_14_11_21_1,ND,WH+FI merged,"WH + FI merged, one rep",#b2a0d6,3,False
47_14_11_21_1,NE,WH+FI merged,"WH + FI merged, one rep",#b2a0d6,3,False
47_14_11_21_1,NH,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,NJ,three channels,"three channels, three reps",#a6cee3,5,True
47_14_11_21_1,NM,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,NV,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,NY,three channels,"three channels, three reps",#a6cee3,6,True
47_14_11_21_1,OH,three channels,"three channels, three reps",#a6cee3,5,True
47_14_11_21_1,OK,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,OR,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,PA,three channels,"three channels, three reps",#a6cee3,5,True
47_14_11_21_1,RI,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,SC,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,SD,WH+FI merged,"WH + FI merged, one rep",#b2a0d6,3,False
47_14_11_21_1,TN,three channels,"three channels, three reps",#a6cee3,4,True
47_14_11_21_1,TX,three channels,"three channels, three reps",#a6cee3,4,True
47_14_11_21_1,UT,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,VA,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,VT,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,WA,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,WI,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,WV,three channels,"three channels, three reps",#a6cee3,3,False
47_14_11_21_1,WY,WH+FI merged,"WH + FI merged, one rep",#b2a0d6,3,False
46_14_11_21_0,AL,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,AR,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,AZ,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,CA,three channels,"three channels, three reps",#a6cee3,8,True
46_14_11_21_0,CO,partial,one or two channels,#f3e79b,2,True
46_14_11_21_0,CT,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,DC,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,DE,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,FL,three channels,"three channels, three reps",#a6cee3,4,True
46_14_11_21_0,GA,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,IA,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,ID,partial,one or two channels,#f3e79b,2,True
46_14_11_21_0,IL,three channels,"three channels, three reps",#a6cee3,5,True
46_14_11_21_0,IN,three channels,"three channels, three reps",#a6cee3,4,True
46_14_11_21_0,KS,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,KY,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,LA,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,MA,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,MD,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,ME,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,MI,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,MN,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,MO,three channels,"three channels, three reps",#a6cee3,5,True
46_14_11_21_0,MS,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,MT,partial,one or two channels,#f3e79b,2,True
46_14_11_21_0,NC,three channels,"three channels, three reps",#a6cee3,4,True
46_14_11_21_0,ND,partial,one or two channels,#f3e79b,2,True
46_14_11_21_0,NE,partial,one or two channels,#f3e79b,2,True
46_14_11_21_0,NH,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,NJ,three channels,"three channels, three reps",#a6cee3,5,True
46_14_11_21_0,NM,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,NV,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,NY,three channels,"three channels, three reps",#a6cee3,6,True
46_14_11_21_0,OH,three channels,"three channels, three reps",#a6cee3,5,True
46_14_11_21_0,OK,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,OR,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,PA,three channels,"three channels, three reps",#a6cee3,5,True
46_14_11_21_0,RI,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,SC,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,SD,partial,one or two channels,#f3e79b,2,True
46_14_11_21_0,TN,three channels,"three channels, three reps",#a6cee3,4,True
46_14_11_21_0,TX,three channels,"three channels, three reps",#a6cee3,4,True
46_14_11_21_0,UT,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,VA,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,VT,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,WA,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,WI,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,WV,three channels,"three channels, three reps",#a6cee3,3,False
46_14_11_21_0,WY,partial,one or two channels,#f3e79b,2,True
51_13_13_24_1,AL,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,AR,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,AZ,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,CO,WH+FI merged,"WH + FI merged, one rep",#b2a0d6,1,False
51_13_13_24_1,CT,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,DC,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,DE,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,FL,three channels,"three channels, three reps",#a6cee3,5,True
51_13_13_24_1,GA,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,IA,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,ID,WH+FI merged,"WH + FI merged, one rep",#b2a0d6,1,False
51_13_13_24_1,IL,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,IN,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,KS,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,KY,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,LA,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,MA,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,MD,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,ME,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,MI,three channels,"three channels, three reps",#a6cee3,4,True
51_13_13_24_1,MN,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,MO,three channels,"three channels, three reps",#a6cee3,4,True
51_13_13_24_1,MS,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,MT,WH+FI merged,"WH + FI merged, one rep",#b2a0d6,1,False
51_13_13_24_1,NC,three channels,"three channels, three reps",#a6cee3,5,True
51_13_13_24_1,ND,WH+FI merged,"WH + FI merged, one rep",#b2a0d6,1,False
51_13_13_24_1,NE,WH+FI merged,"WH + FI merged, one rep",#b2a0d6,1,False
51_13_13_24_1,NH,three channels,"three channels, three reps",#a6cee3,3,False
51_13_13_24_1,NJ,three channels,"three channels, three reps",#a6cee3,6,True
51_13_13_24_1,NM,three channels,"three channels, three reps",#a6cee3,3,False
