section,cite,year,authors,title,venue,doi,url,type,cited_by,oa_url,establishes,relevance,key,tag
Sales territory design and alignment,Hess & Samuels 1971,1971,Sidney W. Hess; Stuart A. Samuels,Experiences with a Sales Districting Model: Criteria and Implementation,Management Science,10.1287/mnsc.18.4.p41,https://doi.org/10.1287/mnsc.18.4.p41,article,142,,"First published sales-districting model: equalise workload/potential over contiguous units, solved by a location-allocation heuristic.","The benchmark any territory-division paper is compared to. Establishes that balance-based districting is 50 years old, so novelty must lie elsewhere.",hess1971,td
Sales territory design and alignment,Lodish 1971,1971,Leonard M. Lodish,Callplan: An Interactive Salesman's Call Planning System,Management Science,10.1287/mnsc.18.4.p25,https://doi.org/10.1287/mnsc.18.4.p25,article,150,,"CALLPLAN: interactive optimisation of salesperson call frequency by account, with an estimated response function.",Origin of the concave-effort-response tradition; the companion argument to Skiera & Albers on why linear utility is contested.,lodish1971,td
Sales territory design and alignment,Zoltners & Sinha 1983,1983,Andris A. Zoltners; Prabhakant Sinha,Sales Territory Alignment: A Review and Model,Management Science,10.1287/mnsc.29.11.1237,https://doi.org/10.1287/mnsc.29.11.1237,article,180,,Formalises territory alignment as an assignment problem over sub-units with a survey of criteria and a solvable model.,Canonical statement of the problem this work generalises. Cite when framing scope.,zoltners1983,td
Sales territory design and alignment,Skiera & Albers 1998,1998,Bernd Skiera; Sönke Albers,COSTA: Contribution Optimizing Sales Territory Alignment,Marketing Science,10.1287/mksc.17.3.196,https://doi.org/10.1287/mksc.17.3.196,article,88,,"Maximises total contribution using an estimated concave sales-response function per territory, rather than balancing surrogates.",The strongest challenge to a linear utility. A referee will ask why the response function is not estimated; this is the paper they have in mind.,skiera1998,td
Sales territory design and alignment,Drexl & Haase 1999,1999,Andreas Drexl; Knut Haase,Fast Approximation Methods for Sales Force Deployment,Management Science,10.1287/mnsc.45.10.1307,https://doi.org/10.1287/mnsc.45.10.1307,article,80,,Fast approximation algorithms for joint territory design and effort allocation at realistic scale.,Precedent that the deployment problem needs heuristics at national scale; relevant to the lazy-callback scaling gap.,drexl1999,td
Sales territory design and alignment,Zoltners & Lorimer 2000,2000,Andris A. Zoltners; Sally E. Lorimer,Sales Territory Alignment: An Overlooked Productivity Tool,Journal of Personal Selling and Sales Management,10.1080/08853134.2000.10754234,https://doi.org/10.1080/08853134.2000.10754234,article,40,,Argues misalignment is a large and routinely ignored source of lost sales productivity.,Motivation and business framing; useful for a non-technical audience.,zoltners2000,td
Sales territory design and alignment,Zoltners & Sinha 2005,2005,Andris A. Zoltners; Prabhakant Sinha,The 2004 ISMS Practice Prize Winner—Sales Territory Design: Thirty Years of Modeling and Implementation,Marketing Science,10.1287/mksc.1050.0133,https://doi.org/10.1287/mksc.1050.0133,article,107,,"Thirty-year retrospective on deploying territory-alignment models in industry, including realignment disruption and adoption failure modes.",The implementation-reality citation. Its cited-by list is the best single entry point to the modern commercial-districting literature.,zoltners2005,td
Sales territory design and alignment,Mantrala et al. 2010,2010,Murali K. Mantrala; Sönke Albers; Fábio Caldieraro; Ove Jensen; Kissan Joseph; Manfred Krafft; Chakravarthi Narasimhan; Srinath Gopalakrishna; Andris A. Zoltners; Rajiv Lal; Leonard M. Lodish,Sales force modeling: State of the field and research agenda,Marketing Letters,10.1007/s11002-010-9111-4,https://doi.org/10.1007/s11002-010-9111-4,article,79,,Survey of the sales-force modelling field with an explicit research agenda.,"Orientation for adjacent work (sizing, compensation, call planning) that the model does not cover.",mantrala2010,td
Districting and contiguity formulations,SalazarAguilar et al. 2011,2011,M. Angélica Salazar–Aguilar; Roger Z. Ríos‐Mercado; Mauricio Cabrera‐Ríos,New Models for Commercial Territory Design,Networks and Spatial Economics,10.1007/s11067-010-9151-6,https://doi.org/10.1007/s11067-010-9151-6,article,81,,"Commercial territory design with multiple balance criteria and dispersion objectives, solved exactly and heuristically.",Nearest published analogue to the applied setting; useful for defending objective choices.,salazaraguilar2011,cont
Districting and contiguity formulations,RíosMercado & Pérez 2012,2012,Roger Z. Ríos‐Mercado; López Pérez,Commercial territory design planning with realignment and disjoint assignment requirements,Omega,10.1016/j.omega.2012.08.002,https://doi.org/10.1016/j.omega.2012.08.002,article,54,,Territory design with realignment costs and disjoint-assignment requirements.,"Closest match to a merger realignment: it prices moving units away from an incumbent, which the current model does not.",rosmercado2012,cont
Districting and contiguity formulations,Validi et al. 2021,2021,Hamidreza Validi; Austin Buchanan; Eugene Lykhovyd,Imposing Contiguity Constraints in Political Districting Models,Operations Research,10.1287/opre.2021.2141,https://doi.org/10.1287/opre.2021.2141,article,58,,Compares and strengthens contiguity formulations for districting IPs; cut-based and flow-based encodings with computational dominance results.,Directly supersedes the separator-cut encoding used here. The answer to the national-scale performance gap.,validi2021,cont
Cooperative bargaining theory,Nash 1950,1950,John F. Nash,The Bargaining Problem,Econometrica,10.2307/1907266,https://doi.org/10.2307/1907266,article,7912,,"Axiomatises the two-person bargaining solution: Pareto efficiency, symmetry, scale invariance, IIA select the point maximising the product of gains over the disagreement point.","The source of the criterion. Note the convexity assumption on the feasible set, which indivisible units violate.",nash1950,barg
Cooperative bargaining theory,Nash 1953,1953,John C. Nash,Two-Person Cooperative Games,Econometrica,10.2307/1906951,https://doi.org/10.2307/1906951,article,3217,,"Extends the bargaining solution to the two-person cooperative game with threats, deriving the disagreement point endogenously.",Relevant to any argument that the threat point should be modelled rather than assumed. NOTE: OpenAlex records the author as 'John C. Nash'; it is John F. Nash.,nash1953,barg
