scenario,zip_code,current_channel,state,model_channel,district,district_channels,rep
Group 1 Exact National (14 N),01001,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01001,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01001,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01001,WH,MA,WH,other,,
Group 1 Exact National (14 N),01001,FI,MA,FI,other,,
Group 1 Exact National (14 N),01020,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01020,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01020,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01020,WH,MA,WH,other,,
Group 1 Exact National (14 N),01020,FI,MA,FI,other,,
Group 1 Exact National (14 N),01027,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01027,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01027,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01027,WH,MA,WH,other,,
Group 1 Exact National (14 N),01027,FI,MA,FI,other,,
Group 1 Exact National (14 N),01028,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01028,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01028,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01028,WH,MA,WH,other,,
Group 1 Exact National (14 N),01028,FI,MA,FI,other,,
Group 1 Exact National (14 N),01035,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01035,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01035,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01035,WH,MA,WH,other,,
Group 1 Exact National (14 N),01035,FI,MA,FI,other,,
Group 1 Exact National (14 N),01040,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01040,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01040,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01040,WH,MA,WH,other,,
Group 1 Exact National (14 N),01040,FI,MA,FI,other,,
Group 1 Exact National (14 N),01056,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01056,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01056,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01056,WH,MA,WH,other,,
Group 1 Exact National (14 N),01056,FI,MA,FI,other,,
Group 1 Exact National (14 N),01057,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01057,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01057,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01057,WH,MA,WH,other,,
Group 1 Exact National (14 N),01057,FI,MA,FI,other,,
Group 1 Exact National (14 N),01060,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01060,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01060,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01060,WH,MA,WH,other,,
Group 1 Exact National (14 N),01060,FI,MA,FI,other,,
Group 1 Exact National (14 N),01085,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01085,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01085,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01085,WH,MA,WH,other,,
Group 1 Exact National (14 N),01085,FI,MA,FI,other,,
Group 1 Exact National (14 N),01089,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01089,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01089,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01089,WH,MA,WH,other,,
Group 1 Exact National (14 N),01089,FI,MA,FI,other,,
Group 1 Exact National (14 N),01095,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01095,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01095,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01095,WH,MA,WH,other,,
Group 1 Exact National (14 N),01095,FI,MA,FI,other,,
Group 1 Exact National (14 N),01103,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01103,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01103,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01103,WH,MA,WH,other,,
Group 1 Exact National (14 N),01103,FI,MA,FI,other,,
