scenario_id,scenario_short_name,scenario_name,total_districts,national_districts,WH_districts,FI_districts,WIFI_districts,national_tau,wealth_tau,fi_tau,total_opportunity_mass,held_mass,unheld_mass,unheld_mass_pct,contiguity_status,map_path,map_path_verbose
47_total_14n_11wh_21fi_1wifi,47_total_14n_11wh_21fi_1wifi,47_total_14n_11wh_21fi_1wifi,47,14,11,21,1,615.2,485.6,427.0,22922.40,22922.40,0.00,0.00%,100% Contiguous (0 violations),figures/47_total_14n_11wh_21fi_1wifi.png,figures/47_total_14n_11wh_21fi_1wifi.png
46_total_14n_11wh_21fi_0wifi,46_total_14n_11wh_21fi_0wifi,46_total_14n_11wh_21fi_0wifi,46,14,11,21,0,615.2,485.6,427.0,22922.40,22922.40,0.00,0.00%,100% Contiguous (0 violations),figures/46_total_14n_11wh_21fi_0wifi.png,figures/46_total_14n_11wh_21fi_0wifi.png
51_total_13n_13wh_24fi_1wifi,51_total_13n_13wh_24fi_1wifi,51_total_13n_13wh_24fi_1wifi,51,13,13,24,1,642.7,397.8,362.8,22922.40,22922.40,0.00,0.00%,100% Contiguous (0 violations),figures/51_total_13n_13wh_24fi_1wifi.png,figures/51_total_13n_13wh_24fi_1wifi.png
52_total_13n_14wh_24fi_1wifi,52_total_13n_14wh_24fi_1wifi,52_total_13n_14wh_24fi_1wifi,52,13,14,24,1,642.7,369.4,362.8,22922.40,22922.40,0.00,0.00%,100% Contiguous (0 violations),figures/52_total_13n_14wh_24fi_1wifi.png,figures/52_total_13n_14wh_24fi_1wifi.png
51_total_12n_13wh_25fi_1wifi,51_total_12n_13wh_25fi_1wifi,51_total_12n_13wh_25fi_1wifi,51,12,13,25,1,696.3,397.8,348.2,22922.40,22922.40,0.00,0.00%,100% Contiguous (0 violations),figures/51_total_12n_13wh_25fi_1wifi.png,figures/51_total_12n_13wh_25fi_1wifi.png
53_total_13n_14wh_25fi_1wifi,53_total_13n_14wh_25fi_1wifi,53_total_13n_14wh_25fi_1wifi,53,13,14,25,1,642.7,369.4,348.2,22922.40,22922.40,0.00,0.00%,100% Contiguous (0 violations),figures/53_total_13n_14wh_25fi_1wifi.png,figures/53_total_13n_14wh_25fi_1wifi.png
52_total_12n_14wh_25fi_1wifi,52_total_12n_14wh_25fi_1wifi,52_total_12n_14wh_25fi_1wifi,52,12,14,25,1,696.3,369.4,348.2,22922.40,22922.40,0.00,0.00%,100% Contiguous (0 violations),figures/52_total_12n_14wh_25fi_1wifi.png,figures/52_total_12n_14wh_25fi_1wifi.png
51_total_12n_13wh_24fi_2wifi,51_total_12n_13wh_24fi_2wifi,51_total_12n_13wh_24fi_2wifi,51,12,13,24,2,696.3,397.8,362.8,22922.40,22922.40,0.00,0.00%,100% Contiguous (0 violations),figures/51_total_12n_13wh_24fi_2wifi.png,figures/51_total_12n_13wh_24fi_2wifi.png
52_total_12n_13wh_25fi_2wifi,52_total_12n_13wh_25fi_2wifi,52_total_12n_13wh_25fi_2wifi,52,12,13,25,2,696.3,397.8,348.2,22922.40,22922.40,0.00,0.00%,100% Contiguous (0 violations),figures/52_total_12n_13wh_25fi_2wifi.png,figures/52_total_12n_13wh_25fi_2wifi.png
52_total_13n_13wh_24fi_2wifi,52_total_13n_13wh_24fi_2wifi,52_total_13n_13wh_24fi_2wifi,52,13,13,24,2,642.7,397.8,362.8,22922.40,22922.40,0.00,0.00%,100% Contiguous (0 violations),figures/52_total_13n_13wh_24fi_2wifi.png,figures/52_total_13n_13wh_24fi_2wifi.png
